#name, A, B, C, D, E, F
NODE_1675, 0.26767832225643406, 0.5442428080648566, 0.001011961970195362, 0.0026485289403796446, 0.001708891708407317, 0.18270948705972698
NODE_1673, 0.0005872277799936243, 0.9991211219636343, 4.709986129743244e-06, 8.683541670748458e-06, 3.5369426502984977e-06, 0.0002747197859213165
GCA_014282725.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1672, 1.3023301916041231e-06, 0.9999982049899316, 3.442402667669494e-08, 3.063440932046342e-08, 9.087515409580122e-09, 4.185339254011701e-07
NODE_1671, 1.630032917209007e-08, 0.9999999500722393, 1.8738253328208892e-08, 8.384273271028059e-09, 2.0154455527996953e-09, 4.489459346461025e-09
GCA_033113985.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1670, 1.3487223343935085e-08, 0.9999999536236723, 1.86917468866285e-08, 8.332628464456468e-09, 2.0013881117227524e-09, 3.863340855706239e-09
GCA_033110325.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1669, 1.3481074746342533e-08, 0.9999999536310445, 1.8691616746167582e-08, 8.332514560039662e-09, 2.0013600034989684e-09, 3.86238948629267e-09
GCA_022262735.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1668, 1.3481061314658778e-08, 0.99999995363106, 1.869161639396058e-08, 8.332514315929356e-09, 2.0013599466170002e-09, 3.862388030904883e-09
GCA_022261715.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1667, 1.348106128532796e-08, 0.9999999536310601, 1.8691616393027476e-08, 8.33251431541475e-09, 2.0013599465002693e-09, 3.862388028657407e-09
GCA_022262795.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1666, 1.3481061285263924e-08, 0.99999995363106, 1.8691616393025037e-08, 8.332514315413675e-09, 2.001359946500026e-09, 3.862388028653891e-09
GCA_022262115.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1665, 1.3481061285263784e-08, 0.99999995363106, 1.869161639302503e-08, 8.332514315413674e-09, 2.0013599465000257e-09, 3.862388028653885e-09
GCA_022262135.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
