#name,region
GCA_014282725.1,North China
GCA_033113985.1,North China
GCA_033110325.1,North China
GCA_022262735.1,North China
GCA_022261715.1,North China
GCA_022262795.1,North China
GCA_022262115.1,North China
GCA_022262135.1,North China
GCA_033111695.1,North China
GCA_022262175.1,North China
GCA_022262655.1,North China
GCA_022262775.1,North China
GCA_022262195.1,North China
GCA_022262575.1,North China
GCA_022261435.1,North China
GCA_022261935.1,North China
GCA_033113945.1,North China
GCA_022262635.1,North China
GCA_022262675.1,North China
GCA_022261595.1,North China
GCA_022262095.1,North China
GCA_034361885.1,North China
GCA_022261755.1,North China
GCA_022261735.1,North China
GCA_022262535.1,North China
GCA_034361945.1,North China
GCA_034362065.1,North China
GCA_033119365.1,Northeast China
GCA_033114065.1,Northeast China
GCA_033120185.1,Northeast China
GCA_022261195.1,North China
GCA_034082405.1,North China
GCA_033111885.1,North China
GCA_022053725.1,North China
GCA_022052845.1,North China
GCA_020477835.1,North China
GCA_022053745.1,North China
GCA_033116605.1,North China
GCA_033111785.1,North China
GCA_033111805.1,North China
GCA_022262455.1,North China
GCA_022261555.1,North China
GCA_022261875.1,North China
GCA_022261975.1,North China
GCA_022261895.1,North China
GCA_022261455.1,North China
GCA_022261635.1,North China
GCA_029523635.1,North China
GCA_042973135.1,East China
GCA_033110865.1,North China
GCA_034390215.1,North China
GCA_022184565.1,North China
GCA_034082005.1,North China
GCA_020483205.1,North China
GCA_034390135.1,North China
GCA_033110385.1,North China
GCA_042973255.1,Northeast China
GCA_044952185.1,Northeast China
GCA_033110345.1,North China
GCA_033118665.1,North China
GCA_034390495.1,North China
GCA_034390285.1,North China
GCA_034390415.1,North China
GCA_020482985.1,North China
GCA_034390255.1,North China
GCA_020482645.1,North China
GCA_020482725.1,North China
GCA_034390515.1,North China
GCA_022860085.1,North China
GCA_034394235.1,North China
GCA_034394245.1,North China
GCA_024756785.1,North China
GCA_024756795.1,North China
GCA_034390615.1,North China
GCA_034390655.1,North China
GCA_034396785.1,Northwestern China
GCA_034397135.1,Northwestern China
GCA_034397155.1,Northwestern China
GCA_034397095.1,Northwestern China
GCA_034397215.1,Northwestern China
GCA_034396995.1,Northwestern China
GCA_034396875.1,Northwestern China
GCA_034396935.1,Northwestern China
GCA_034396855.1,Northwestern China
GCA_042973165.1,Northwestern China
GCA_033117875.1,Northwestern China
GCA_044951825.1,Northwestern China
GCA_042973195.1,Northwestern China
GCA_044951965.1,Northwestern China
GCA_002164855.2,Southwestern China
GCA_034363965.1,Southwestern China
GCA_034364125.1,Southwestern China
GCA_002852635.1,Southwestern China
GCA_002852585.1,Southwestern China
GCA_002853235.1,Southwestern China
GCA_034363825.1,Southwestern China
GCA_034364445.1,Southwestern China
GCA_034364325.1,Southwestern China
GCA_034363995.1,Southwestern China
GCA_034364045.1,Southwestern China
GCA_034364105.1,Southwestern China
GCA_034364385.1,Southwestern China
GCA_034364225.1,Southwestern China
GCA_034364305.1,Southwestern China
GCA_034364365.1,Southwestern China
GCA_034364465.1,Southwestern China
GCA_034364145.1,Southwestern China
GCA_034363985.1,Southwestern China
GCA_034364405.1,Southwestern China
GCA_034364065.1,Southwestern China
GCA_033112525.1,Southwestern China
GCA_034363845.1,Southwestern China
GCA_002852475.1,Southwestern China
GCA_002852015.1,Southwestern China
GCA_002852105.1,Southwestern China
GCA_002164755.1,Southwestern China
GCA_002852515.1,Southwestern China
GCA_003037265.1,Southwestern China
GCA_003037305.1,Southwestern China
GCA_003037835.1,Southwestern China
GCA_041388435.1,Southwestern China
GCA_041388735.1,Southwestern China
GCA_003037555.1,Southwestern China
GCA_003036765.1,Southwestern China
GCA_003263065.1,Southwestern China
GCA_041388475.1,Southwestern China
GCA_003036925.1,Southwestern China
GCA_003261935.1,Southwestern China
GCA_003261865.1,Southwestern China
GCA_003262135.1,Southwestern China
GCA_003037915.1,Southwestern China
GCA_002852135.1,Southwestern China
GCA_041388455.1,Southwestern China
GCA_003262975.1,Southwestern China
GCA_003036465.1,Southwestern China
GCA_041388535.1,Southwestern China
GCA_041388925.1,Southwestern China
GCA_003262445.1,Southwestern China
GCA_018383575.1,Southwestern China
GCA_018383705.1,Southwestern China
GCA_003036815.1,Southwestern China
GCA_003038155.1,Southwestern China
GCA_002852275.1,Southwestern China
GCA_033114645.1,Southwestern China
GCA_003263225.1,Southwestern China
GCA_003261715.1,Southwestern China
GCA_003262205.1,Southwestern China
GCA_003036845.1,Southwestern China
GCA_002852395.1,Southwestern China
GCA_003261745.1,Southwestern China
GCA_003261705.1,Southwestern China
GCA_003036665.1,Southwestern China
GCA_002851935.1,Southwestern China
GCA_003262275.1,Southwestern China
GCA_018383565.1,Southwestern China
GCA_015391385.1,Southwestern China
