Node	Beg	End
GCA_002164675.1	3444058	3444080
GCA_002164675.1	4348827	4348869
GCA_002164755.1	457803	457809
GCA_002164755.1	745071	745096
GCA_002164755.1	3444058	3444080
GCA_002164755.1	4348827	4348869
GCA_002261825.1	2824091	2825088
GCA_002261875.1	2823530	2824211
GCA_002262215.1	2823435	2823728
GCA_002262215.1	3443992	3444058
GCA_002262225.1	457803	457809
GCA_002262225.1	2826032	2826861
GCA_002262375.1	2825664	2825762
GCA_002262375.1	3443992	3444080
GCA_002262625.1	2824091	2825762
GCA_002811265.1	745071	745096
GCA_002811265.1	3444058	3444080
GCA_002811265.1	4916758	4917269
GCA_002811275.1	745071	745096
GCA_002811275.1	3444058	3444080
GCA_002811275.1	3447195	3447233
GCA_002811275.1	4916662	4916670
GCA_002811375.1	2426758	2427220
GCA_002851875.1	3025090	3025213
GCA_002851875.1	3125804	3126250
GCA_002851875.1	3447195	3447233
GCA_002851935.1	3444058	3444080
GCA_002851935.1	3447195	3447233
GCA_002851955.1	3447195	3447233
GCA_002851995.1	2117989	2118100
GCA_002852015.1	3795933	3796058
GCA_002852015.1	4363532	4363583
GCA_002852135.1	3125804	3126250
GCA_002852235.1	3447195	3447233
GCA_002852235.1	3795933	3796058
GCA_002852275.1	3444058	3444080
GCA_002852395.1	3125804	3126250
GCA_002852395.1	3444058	3444080
GCA_002852415.1	3444058	3444080
GCA_002852415.1	3447195	3447233
GCA_002852485.1	4710563	4710573
GCA_002852585.1	3320067	3320710
GCA_002852585.1	4862741	4862784
GCA_002852635.1	3444058	3444080
GCA_002852695.1	745071	745096
GCA_002852695.1	4348827	4348869
GCA_002852715.1	3125804	3126250
GCA_002852715.1	4348827	4348869
GCA_002852775.1	4348827	4348869
GCA_002853235.1	4348827	4348869
GCA_002853315.1	4348827	4348869
GCA_002853335.1	4348827	4348869
GCA_002853375.1	4348827	4348869
GCA_002853375.1	4836312	4836351
GCA_003036705.1	3125804	3126250
GCA_003036815.1	2576711	2577050
GCA_003037105.1	4837821	4837851
GCA_003037265.1	3125804	3126250
GCA_003037475.1	4916662	4916670
GCA_003037515.1	3125804	3126250
GCA_003037585.1	4916662	4916670
GCA_003037855.1	3125804	3126250
GCA_003038075.1	3125804	3126250
GCA_003038095.1	4916662	4916670
GCA_003038235.1	4862842	4862902
GCA_003262205.1	3125804	3126250
GCA_003262485.1	3125804	3126250
GCA_003262625.1	3125804	3126250
GCA_003263195.1	3125804	3126250
GCA_003263215.1	2576711	2576854
GCA_007954805.1	3612262	3612316
GCA_007954825.1	2825664	2825762
GCA_007954825.1	3612262	3612316
GCA_007954845.1	3612262	3612316
GCA_007954905.1	3612262	3612316
GCA_007954935.1	2824475	2825123
GCA_007954945.1	2824091	2824917
GCA_007954995.1	2823530	2823728
GCA_007955045.1	2824091	2824259
GCA_007955095.1	3612262	3612316
GCA_009721365.1	2427181	2427220
GCA_009721365.1	2576489	2577008
GCA_009721365.1	2824475	2825123
GCA_009721455.1	2823530	2825762
GCA_009721455.1	3443991	3443998
GCA_009721455.1	4348827	4348851
GCA_009721505.1	3443991	3443998
GCA_009721545.1	3621795	3621830
GCA_009721735.1	2824091	2826861
GCA_009721825.1	2824501	2825754
GCA_009721875.1	4348811	4348836
GCA_009721925.1	2824475	2824917
GCA_009722025.1	2427193	2427220
GCA_009722025.1	2824091	2825762
GCA_009722055.1	3443991	3443998
GCA_009722125.1	2824211	2824501
GCA_009722125.1	4348789	4348811
GCA_009722135.1	3443995	3444080
GCA_009722135.1	3621783	3621830
GCA_009722165.1	4348827	4348869
GCA_009722205.1	2823836	2825762
GCA_009722215.1	2824917	2825123
GCA_009722225.1	3621795	3621830
GCA_009724285.1	3621795	3621830
GCA_009724365.1	2823059	2825762
GCA_009724385.1	3621795	3621830
GCA_014282725.1	1813856	1813889
GCA_014282725.1	2576454	2576871
GCA_014282725.1	3312865	3314677
GCA_014282725.1	3324624	3324766
GCA_015228715.1	2576699	2576753
GCA_015391365.1	2576711	2576854
GCA_015391385.1	3125804	3126250
GCA_015499895.1	3125804	3126250
GCA_016722865.1	2823530	2825123
GCA_016722885.1	2823530	2824106
GCA_018383565.1	2576711	2576854
GCA_018383675.1	2576711	2576854
GCA_018383675.1	4098084	4098093
GCA_019445135.1	3612262	3612316
GCA_019445345.1	3443991	3443998
GCA_019445535.1	3612262	3612316
GCA_019445715.1	2823836	2824106
GCA_020477835.1	3328649	3328772
GCA_020482485.1	3612262	3612316
GCA_020482725.1	3326495	3326738
GCA_020482985.1	1815763	1815876
GCA_020482985.1	3306955	3309187
GCA_020482985.1	3316588	3316875
GCA_020483205.1	3306952	3307489
GCA_020483205.1	3316576	3316981
GCA_021312515.1	3125341	3126245
GCA_021726675.1	2823438	2824917
GCA_021726735.1	2824475	2825762
GCA_021726795.1	2824917	2825664
