Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.352663	8.44898e-05	1472.02	4174.03
1/delta	0.00131483	1.17443e-09	1472.02	1.11955e+06
nu	0.0128132	1.1455e-08	14332.3	1.11856e+06
GCA_002164605.1	8.96871e-07	1.63898e-13	4.9078	5.47213e+06
GCA_002164675.1	3.61537e-07	6.60707e-14	1.97832	5.47197e+06
GCA_002164755.1	8.53027e-07	1.55905e-13	4.66729	5.47145e+06
GCA_002164855.2	1.77969e-06	3.25192e-13	9.73975	5.47273e+06
GCA_002261665.1	5.3749e-07	9.82117e-14	2.94156	5.47277e+06
GCA_002261825.1	7.15228e-07	1.30716e-13	3.91346	5.47163e+06
GCA_002261875.1	9.06225e-07	1.6562e-13	4.95861	5.47173e+06
GCA_002261975.1	5.37624e-07	9.82362e-14	2.9423	5.47277e+06
GCA_002262035.1	1.89181e-07	3.457e-14	1.03527	5.47239e+06
GCA_002262185.1	5.37426e-07	9.82e-14	2.94121	5.47277e+06
GCA_002262215.1	1.82756e-07	3.33975e-14	1.00007	5.47214e+06
GCA_002262225.1	1.42124e-06	2.59749e-13	7.77648	5.4716e+06
GCA_002262375.1	7.15589e-07	1.30766e-13	3.91592	5.4723e+06
GCA_002262425.1	3.60099e-07	6.57982e-14	1.97074	5.47278e+06
GCA_002262475.1	3.60703e-07	6.59103e-14	1.974	5.47264e+06
GCA_002262485.1	3.60092e-07	6.57969e-14	1.9707	5.47278e+06
GCA_002262625.1	1.82751e-07	3.33961e-14	1.00005	5.47223e+06
GCA_002740625.1	3.60234e-07	6.58228e-14	1.97148	5.47278e+06
GCA_002740645.1	7.15298e-07	1.30701e-13	3.91466	5.47277e+06
GCA_002811265.1	7.26229e-07	1.32725e-13	3.97369	5.47167e+06
GCA_002811275.1	3.60849e-07	6.59453e-14	1.97454	5.47194e+06
GCA_002811375.1	1.25565e-06	2.29473e-13	6.87073	5.47186e+06
GCA_002851875.1	9.00958e-07	1.64666e-13	4.92953	5.47144e+06
GCA_002851935.1	8.92941e-07	1.63175e-13	4.88642	5.47227e+06
GCA_002851955.1	8.93227e-07	1.63223e-13	4.88811	5.47242e+06
GCA_002851975.1	8.94002e-07	1.6336e-13	4.8925	5.47258e+06
GCA_002851995.1	7.16508e-07	1.30936e-13	3.92088	5.47221e+06
GCA_002852015.1	5.38755e-07	9.84546e-14	2.94813	5.47212e+06
GCA_002852055.1	7.14978e-07	1.30643e-13	3.91291	5.47277e+06
GCA_002852105.1	8.92417e-07	1.63065e-13	4.88398	5.47276e+06
GCA_002852135.1	5.42111e-07	9.90691e-14	2.96646	5.47205e+06
GCA_002852155.1	1.42476e-06	2.60337e-13	7.79733	5.47274e+06
GCA_002852195.1	5.37391e-07	9.81935e-14	2.94102	5.47277e+06
GCA_002852215.1	5.37518e-07	9.82167e-14	2.94171	5.47277e+06
GCA_002852235.1	5.37421e-07	9.8207e-14	2.94094	5.47233e+06
GCA_002852245.1	7.74338e-07	1.41499e-13	4.23746	5.47237e+06
GCA_002852275.1	7.17771e-07	1.31166e-13	3.92782	5.47224e+06
GCA_002852285.1	5.38283e-07	9.83594e-14	2.94581	5.47261e+06
GCA_002852315.1	7.15963e-07	1.30827e-13	3.91817	5.47259e+06
GCA_002852355.1	5.37404e-07	9.8196e-14	2.94109	5.47277e+06
GCA_002852365.2	3.60153e-07	6.58081e-14	1.97104	5.47278e+06
GCA_002852395.1	3.63313e-07	6.6398e-14	1.98795	5.47174e+06
GCA_002852415.1	3.60776e-07	6.5928e-14	1.97427	5.47228e+06
GCA_002852435.1	9.22697e-07	1.68617e-13	5.04913	5.47215e+06
GCA_002852455.1	1.24677e-06	2.27814e-13	6.82325	5.47275e+06
GCA_002852475.1	7.14911e-07	1.30631e-13	3.91254	5.47277e+06
GCA_002852485.1	1.82915e-07	3.34246e-14	1.001	5.47248e+06
GCA_002852515.1	5.3732e-07	9.81806e-14	2.94063	5.47277e+06
GCA_002852535.1	3.59939e-07	6.57689e-14	1.96986	5.47278e+06
GCA_002852585.1	3.60973e-07	6.59732e-14	1.97506	5.47151e+06
GCA_002852635.1	7.1499e-07	1.30649e-13	3.91285	5.4726e+06
GCA_002852695.1	1.07097e-06	1.95708e-13	5.86061	5.47226e+06
GCA_002852715.1	7.21157e-07	1.31794e-13	3.94606	5.47185e+06
GCA_002852755.1	1.07105e-06	1.95711e-13	5.86143	5.47261e+06
GCA_002852775.1	1.2519e-06	2.2878e-13	6.85051	5.47208e+06
GCA_002852785.2	3.60397e-07	6.58526e-14	1.97237	5.47278e+06
GCA_002852975.3	8.92284e-07	1.63041e-13	4.88326	5.47276e+06
GCA_002853235.1	3.60115e-07	6.58034e-14	1.97076	5.47259e+06
GCA_002853315.1	1.42528e-06	2.60457e-13	7.79949	5.47224e+06
GCA_002853335.1	7.17355e-07	1.31092e-13	3.92546	5.47214e+06
GCA_002853375.1	3.60079e-07	6.57989e-14	1.9705	5.47241e+06
GCA_003036465.1	7.1585e-07	1.30806e-13	3.91758	5.47262e+06
GCA_003036605.1	5.37636e-07	9.82382e-14	2.94236	5.47277e+06
GCA_003036665.1	3.60056e-07	6.57903e-14	1.97051	5.47278e+06
GCA_003036705.1	5.41919e-07	9.90313e-14	2.96549	5.47219e+06
GCA_003036765.1	1.82953e-07	3.34306e-14	1.00123	5.47263e+06
GCA_003036785.1	8.92151e-07	1.63017e-13	4.88253	5.47276e+06
GCA_003036805.1	5.3769e-07	9.82481e-14	2.94265	5.47277e+06
GCA_003036815.1	5.37984e-07	9.83106e-14	2.94401	5.47229e+06
GCA_003036845.1	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
GCA_003036885.1	1.82953e-07	3.34306e-14	1.00123	5.47263e+06
GCA_003036895.1	5.37611e-07	9.82337e-14	2.94222	5.47277e+06
GCA_003036925.1	1.07035e-06	1.95577e-13	5.85775	5.47275e+06
GCA_003036945.1	5.37485e-07	9.82106e-14	2.94153	5.47277e+06
GCA_003036965.1	5.37691e-07	9.82484e-14	2.94266	5.47277e+06
GCA_003037105.1	1.3099e-06	2.39373e-13	7.16807	5.47222e+06
GCA_003037145.1	5.37478e-07	9.82095e-14	2.9415	5.47277e+06
GCA_003037205.1	3.60824e-07	6.59342e-14	1.97461	5.47249e+06
GCA_003037225.1	1.82915e-07	3.34235e-14	1.00103	5.47264e+06
GCA_003037265.1	5.415e-07	9.89549e-14	2.96319	5.47219e+06
GCA_003037305.1	7.15181e-07	1.3068e-13	3.91402	5.47277e+06
GCA_003037365.1	1.82902e-07	3.34212e-14	1.00096	5.47264e+06
GCA_003037385.1	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
GCA_003037435.1	7.15035e-07	1.30653e-13	3.91322	5.47277e+06
GCA_003037475.1	8.92727e-07	1.63126e-13	4.88555	5.47261e+06
GCA_003037515.1	7.20636e-07	1.31691e-13	3.94346	5.47219e+06
GCA_003037555.1	5.37471e-07	9.82082e-14	2.94146	5.47277e+06
GCA_003037585.1	8.92377e-07	1.63062e-13	4.88363	5.47261e+06
GCA_003037835.1	7.14993e-07	1.30646e-13	3.91299	5.47277e+06
GCA_003037855.1	3.63162e-07	6.63649e-14	1.98729	5.4722e+06
GCA_003037865.1	5.37448e-07	9.8204e-14	2.94133	5.47277e+06
GCA_003037915.1	8.93256e-07	1.63223e-13	4.88845	5.47262e+06
GCA_003038075.1	1.0807e-06	1.97501e-13	5.91349	5.47188e+06
GCA_003038095.1	5.38235e-07	9.83529e-14	2.94548	5.47248e+06
GCA_003038155.1	7.16053e-07	1.30843e-13	3.91869	5.47262e+06
GCA_003038235.1	5.37706e-07	9.82548e-14	2.94264	5.47257e+06
GCA_003038255.1	3.60083e-07	6.57952e-14	1.97065	5.47278e+06
GCA_003261715.1	7.15214e-07	1.30686e-13	3.9142	5.47277e+06
GCA_003261785.1	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
GCA_003261855.1	5.3734e-07	9.81843e-14	2.94074	5.47277e+06
GCA_003261865.1	3.60133e-07	6.58043e-14	1.97093	5.47278e+06
GCA_003261935.1	5.37743e-07	9.82579e-14	2.94295	5.47277e+06
GCA_003262105.1	5.3756e-07	9.82244e-14	2.94194	5.47277e+06
GCA_003262145.1	3.60375e-07	6.58486e-14	1.97225	5.47278e+06
GCA_003262205.1	1.84103e-07	3.36434e-14	1.00745	5.4722e+06
GCA_003262255.1	3.60117e-07	6.58014e-14	1.97084	5.47278e+06
GCA_003262335.1	3.60057e-07	6.57906e-14	1.97051	5.47278e+06
GCA_003262365.1	7.16089e-07	1.30853e-13	3.91878	5.47248e+06
GCA_003262415.1	1.06971e-06	1.95462e-13	5.85428	5.47275e+06
GCA_003262445.1	3.6015e-07	6.58075e-14	1.97102	5.47278e+06
GCA_003262485.1	5.41488e-07	9.89527e-14	2.96313	5.47219e+06
GCA_003262505.1	5.37747e-07	9.82586e-14	2.94297	5.47277e+06
GCA_003262535.1	7.14915e-07	1.30631e-13	3.91256	5.47277e+06
GCA_003262615.1	5.37546e-07	9.82219e-14	2.94187	5.47277e+06
GCA_003262625.1	7.20456e-07	1.31658e-13	3.94247	5.47219e+06
GCA_003262655.1	3.60083e-07	6.57952e-14	1.97065	5.47278e+06
GCA_003262725.1	3.6015e-07	6.58075e-14	1.97102	5.47278e+06
GCA_003262765.1	5.37599e-07	9.82316e-14	2.94216	5.47277e+06
GCA_003262795.1	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
GCA_003262805.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_003262875.1	7.14862e-07	1.30622e-13	3.91227	5.47277e+06
GCA_003262885.1	3.6052e-07	6.58768e-14	1.97299	5.47264e+06
GCA_003262905.1	3.60539e-07	6.58803e-14	1.9731	5.47264e+06
GCA_003262915.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_003262955.1	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
GCA_003262965.1	3.59986e-07	6.57775e-14	1.97012	5.47278e+06
GCA_003262975.1	3.60436e-07	6.58616e-14	1.97253	5.47263e+06
GCA_003262995.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_003263035.1	5.3752e-07	9.82171e-14	2.94172	5.47277e+06
GCA_003263045.1	3.60161e-07	6.58096e-14	1.97108	5.47278e+06
GCA_003263055.1	7.15325e-07	1.30706e-13	3.91481	5.47277e+06
GCA_003263115.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_003263195.1	7.2031e-07	1.31631e-13	3.94167	5.47219e+06
GCA_003263215.1	3.60437e-07	6.58634e-14	1.97249	5.4725e+06
GCA_003263225.1	3.60097e-07	6.57978e-14	1.97073	5.47278e+06
GCA_004310745.1	5.37985e-07	9.83046e-14	2.94419	5.47263e+06
GCA_007954805.1	1.82731e-07	3.33903e-14	1.00001	5.47259e+06
GCA_007954815.1	5.37684e-07	9.82471e-14	2.94262	5.47277e+06
GCA_007954825.1	3.17132e-07	5.79539e-14	1.73539	5.47214e+06
GCA_007954845.1	3.60189e-07	6.5817e-14	1.97116	5.47258e+06
GCA_007954905.1	8.92734e-07	1.63129e-13	4.88555	5.47256e+06
GCA_007954925.2	1.06885e-06	1.95304e-13	5.84955	5.47275e+06
GCA_007954935.1	5.37747e-07	9.82728e-14	2.94254	5.47198e+06
GCA_007954945.1	4.02591e-07	7.35734e-14	2.20296	5.47196e+06
GCA_007954995.1	2.29653e-06	4.19664e-13	12.5673	5.4723e+06
GCA_007955045.1	3.60096e-07	6.58014e-14	1.97062	5.47247e+06
GCA_007955055.1	3.60284e-07	6.5832e-14	1.97175	5.47278e+06
GCA_007955095.1	7.39264e-07	1.35095e-13	4.0454	5.4722e+06
GCA_007955155.1	1.77893e-06	3.25053e-13	9.73559	5.47273e+06
GCA_009721355.1	7.26632e-07	1.32784e-13	3.97634	5.47229e+06
GCA_009721365.1	1.08674e-06	1.9863e-13	5.94571	5.47117e+06
GCA_009721455.1	5.08232e-07	9.28974e-14	2.78049	5.4709e+06
GCA_009721505.1	5.37942e-07	9.82995e-14	2.94388	5.47248e+06
GCA_009721545.1	5.37888e-07	9.82902e-14	2.94356	5.47245e+06
GCA_009721555.1	5.377e-07	9.82527e-14	2.94263	5.47262e+06
GCA_009721735.1	5.38539e-07	9.84524e-14	2.94583	5.47005e+06
GCA_009721805.1	7.14452e-07	1.30547e-13	3.91003	5.47277e+06
GCA_009721825.1	5.50207e-07	1.00561e-13	3.01039	5.47138e+06
GCA_009721875.1	1.82924e-07	3.34263e-14	1.00105	5.47247e+06
GCA_009721885.1	1.83005e-07	3.34402e-14	1.00152	5.47261e+06
GCA_009721925.1	8.8145e-07	1.6108e-13	4.82339	5.47211e+06
GCA_009721945.1	3.6548e-07	6.67855e-14	2.00007	5.47244e+06
GCA_009721965.1	1.83191e-07	3.34752e-14	1.00251	5.47246e+06
GCA_009722005.1	5.37321e-07	9.81807e-14	2.94063	5.47277e+06
GCA_009722025.1	5.83522e-07	1.06656e-13	3.19247	5.47104e+06
GCA_009722055.1	7.14804e-07	1.30615e-13	3.91185	5.47262e+06
GCA_009722105.1	3.60642e-07	6.58992e-14	1.97366	5.47263e+06
GCA_009722125.1	8.92555e-07	1.63108e-13	4.88421	5.47216e+06
GCA_009722135.1	3.6018e-07	6.58181e-14	1.97104	5.47236e+06
GCA_009722165.1	3.60113e-07	6.58029e-14	1.97075	5.47259e+06
GCA_009722205.1	1.21877e-06	2.22787e-13	6.66734	5.47055e+06
GCA_009722215.1	1.82939e-07	3.34302e-14	1.0011	5.47229e+06
GCA_009722225.1	1.82908e-07	3.34234e-14	1.00096	5.47246e+06
GCA_009722265.1	1.07069e-06	1.95645e-13	5.85945	5.4726e+06
GCA_009722315.1	5.37386e-07	9.81926e-14	2.94099	5.47277e+06
GCA_009722365.1	5.3719e-07	9.81568e-14	2.93992	5.47277e+06
GCA_009722385.1	1.82901e-07	3.34209e-14	1.00095	5.47264e+06
GCA_009724285.1	9.21525e-07	1.68401e-13	5.04278	5.47221e+06
GCA_009724305.1	3.60171e-07	6.58113e-14	1.97114	5.47278e+06
GCA_009724335.1	3.60009e-07	6.57818e-14	1.97025	5.47278e+06
GCA_009724365.1	7.51474e-07	1.3735e-13	4.1115	5.47125e+06
GCA_009724385.1	3.59993e-07	6.5781e-14	1.9701	5.4726e+06
GCA_009724585.1	5.37791e-07	9.82693e-14	2.94313	5.47262e+06
GCA_014282725.1	1.60319e-06	2.93093e-13	8.76929	5.4699e+06
GCA_014654825.1	3.60343e-07	6.58428e-14	1.97208	5.47278e+06
GCA_014654905.1	5.38504e-07	9.83995e-14	2.94703	5.47263e+06
GCA_014655965.1	7.15078e-07	1.30661e-13	3.91345	5.47277e+06
GCA_015228705.1	5.38201e-07	9.83444e-14	2.94537	5.47262e+06
GCA_015228715.1	1.82731e-07	3.33901e-14	1.00001	5.47259e+06
GCA_015391365.1	3.60053e-07	6.57933e-14	1.97039	5.47249e+06
GCA_015391385.1	1.84103e-07	3.36434e-14	1.00745	5.4722e+06
GCA_015391395.1	5.18654e-07	9.47755e-14	2.83831	5.47245e+06
GCA_015499895.1	3.63e-07	6.63353e-14	1.98641	5.4722e+06
GCA_016458365.1	3.60005e-07	6.57809e-14	1.97023	5.47278e+06
GCA_016722865.1	1.8286e-07	3.34217e-14	1.00048	5.4713e+06
GCA_016722885.1	1.82751e-07	3.33971e-14	1.00003	5.47207e+06
GCA_018383515.1	3.60741e-07	6.59172e-14	1.9742	5.47263e+06
GCA_018383565.1	3.60188e-07	6.58179e-14	1.97113	5.4725e+06
GCA_018383675.1	7.15315e-07	1.30715e-13	3.91444	5.47233e+06
GCA_018861955.1	8.92713e-07	1.63119e-13	4.8856	5.47276e+06
GCA_019445135.1	1.82731e-07	3.33903e-14	1.00001	5.47259e+06
GCA_019445175.1	1.2467e-06	2.27802e-13	6.82289	5.47275e+06
GCA_019445195.1	1.06298e-06	1.94232e-13	5.8174	5.47274e+06
GCA_019445295.1	7.15414e-07	1.30723e-13	3.9153	5.47277e+06
GCA_019445345.1	1.82727e-07	3.33893e-14	1	5.47264e+06
GCA_019445395.1	5.37382e-07	9.81919e-14	2.94097	5.47277e+06
GCA_019445405.1	5.37817e-07	9.82713e-14	2.94335	5.47277e+06
GCA_019445495.1	3.60729e-07	6.59155e-14	1.97412	5.47259e+06
GCA_019445535.1	1.82731e-07	3.33903e-14	1.00001	5.47259e+06
GCA_019445555.1	8.92231e-07	1.63031e-13	4.88297	5.47276e+06
GCA_019445595.1	3.6032e-07	6.58385e-14	1.97195	5.47278e+06
GCA_019445615.1	5.37762e-07	9.82613e-14	2.94305	5.47277e+06
GCA_019445695.1	1.06979e-06	1.95475e-13	5.85469	5.47275e+06
GCA_019445715.1	4.31059e-07	7.8777e-14	2.35871	5.47189e+06
GCA_019445725.1	1.07213e-06	1.95911e-13	5.86728	5.47254e+06
GCA_020477085.1	3.60089e-07	6.57964e-14	1.97069	5.47278e+06
GCA_020477835.1	1.82739e-07	3.33922e-14	1.00004	5.47252e+06
GCA_020481805.1	5.37379e-07	9.81914e-14	2.94096	5.47277e+06
GCA_020481835.1	3.60024e-07	6.57846e-14	1.97033	5.47278e+06
GCA_020482415.1	3.60248e-07	6.58255e-14	1.97156	5.47278e+06
GCA_020482485.1	1.82731e-07	3.33903e-14	1.00001	5.47259e+06
GCA_020482585.1	5.37706e-07	9.82511e-14	2.94274	5.47277e+06
GCA_020482645.1	3.60145e-07	6.58066e-14	1.971	5.47278e+06
GCA_020482725.1	1.82741e-07	3.33932e-14	1.00003	5.4724e+06
GCA_020482985.1	8.95624e-07	1.63715e-13	4.89962	5.47062e+06
GCA_020483205.1	7.15307e-07	1.30732e-13	3.91383	5.47154e+06
GCA_021312515.1	1.25138e-06	2.28699e-13	6.84717	5.47171e+06
GCA_021726675.1	7.20507e-07	1.31695e-13	3.9419	5.47102e+06
GCA_021726735.1	7.60193e-07	1.38937e-13	4.15939	5.47149e+06
GCA_021726755.1	5.55941e-07	1.0159e-13	3.04233	5.47239e+06
GCA_021726795.1	2.11769e-06	3.87037e-13	11.587	5.47154e+06
GCA_021726875.1	5.37622e-07	9.82358e-14	2.94228	5.47277e+06
GCA_021727185.1	5.37408e-07	9.81966e-14	2.94111	5.47277e+06
GCA_021727215.1	7.14806e-07	1.30621e-13	3.91169	5.47238e+06
GCA_021727235.1	7.14781e-07	1.30607e-13	3.91183	5.47277e+06
GCA_021727245.1	1.07121e-06	1.95756e-13	5.86183	5.47217e+06
